NS_FTTH;AGENCIA;EMPLAZAMIENTO;FABRICANTE;MODELO;HOSTNAME;IPADDRESS;RACK;SHELF;SLOT;SUBSLOT;PORT;PORT_TYPE;ID_FIBRA;ESTADO_OPERACIONAL;ESTADO_ADMINISTRATIVO;ESTADO_USO;ESTADO_GENERAL;GESTIONADO;ZONA_COBERTURA;INF_ADICIONAL;INF_COMERCIAL;AGREGADOR_HOSTNAME;AGREGADOR_MODELO;AGREGADOR_IPADDRESS;AGREGADOR_RACK;AGREGADOR_SHELF;AGREGADOR_SLOT;AGREGADOR_SUBSLOT;AGREGADOR_PUERTO;ID_PUERTO;ACCESS_ID
1000088891;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;3;LT;50;HABILITADO;DESBLOQUEADO;OCUPADO;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000088891
4,50E+11;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;3;LT;55;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;4,50E+11
4,50E+11;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;3;LT;56;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;4,50E+11
4,50E+11;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;3;LT;63;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;4,50E+11
1000014144;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;1;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000014144
1000009334;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;2;HABILITADO;DESBLOQUEADO;OCUPADO;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000009334
1000014169;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;3;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000014169
1000014173;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;4;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000014173
1000009307;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;5;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000009307
1000014187;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;6;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000014187
1000014172;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;7;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000014172
1000009324;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;9;HABILITADO;DESBLOQUEADO;OCUPADO;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000009324
1000009256;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;14;HABILITADO;DESBLOQUEADO;OCUPADO;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000009256
1000014148;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;15;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000014148
1000014171;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;18;HABILITADO;DESBLOQUEADO;OCUPADO;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;1000014171
6,12E+12;VITACURA;CH_VITA_VITA;HUAWEI TECHNOLOGIES;MA5800;PITA_OLT_5;10.104.145.6;1;1;7;;4;LT;19;HABILITADO;DESBLOQUEADO;;ACTIVO;GESTIONADO;VITA;BRAS96INDE01;MX960;10.57.12.1;4;1;0;;;;;;6,12E+12
